date|parish|commodity|variety source|low|high|most frequent|supply|grade
august_07_2021|Manchester|broccoli|local|-|-|-|-|-
august_07_2021|Manchester|cabbage (green)|local|110|154|110|moderate|excellent
august_07_2021|Manchester|cabbage (red)|local|-|-|-|-|-
august_07_2021|Manchester|callaloo|shredded|-|-|-|-|-
august_07_2021|Manchester|callaloo|whole|77|99|77|moderate|excellent
august_07_2021|Manchester|cantaloupe|local|132|198|165|moderate|excellent
august_07_2021|Manchester|carrot|local|88|110|88|fair|excellent
august_07_2021|Manchester|cauliflower|local|396|484|484|moderate|excellent
august_07_2021|Manchester|coco|local|-|-|-|-|-
august_07_2021|Manchester|cucumber|local|44|88|66|moderate|excellent
august_07_2021|Manchester|dasheen|local|-|-|-|-|-
august_07_2021|Manchester|escallion|local|88|110|99|average|excellent
august_07_2021|Manchester|ginger|local|-|-|-|-|-
august_07_2021|Manchester|green banana|local|44|55|49.5|moderate|excellent
august_07_2021|Manchester|gungo peas|dry|-|-|-|-|-
august_07_2021|Manchester|gungo peas|green|-|-|-|-|-
august_07_2021|Manchester|honeydew melon|local|-|-|-|-|-
august_07_2021|Manchester|irish potato|local|308|330|319|scarce|excellent
august_07_2021|Manchester|lettuce|iceberg (local)|550|770|660|scarce|excellent
august_07_2021|Manchester|lettuce|other|-|-|-|-|-
august_07_2021|Manchester|lettuce|romaine (local)|880|880|880|scarce|excellent
august_07_2021|Manchester|okra|local|-|-|-|-|-
august_07_2021|Manchester|onion|local|-|-|-|-|-
august_07_2021|Manchester|pak choi|local|-|-|-|-|-
august_07_2021|Manchester|papaya|local|-|-|-|-|-
august_07_2021|Manchester|pepper|scotch bonnet|198|330|253|moderate|excellent
august_07_2021|Manchester|pepper|west indian red|110|132|121|moderate|excellent
august_07_2021|Manchester|pineapple|cow boy|-|-|-|-|-
august_07_2021|Manchester|pineapple|md 2|-|-|-|-|-
august_07_2021|Manchester|pineapple|sugar loaf|-|-|-|-|-
august_07_2021|Manchester|plantain|green|88|110|99|moderate|excellent
august_07_2021|Manchester|plantain|ripe|110|154|132|moderate|excellent
august_07_2021|Manchester|pumpkin|local|66|99|66|moderate|excellent
august_07_2021|Manchester|sorrel|local|-|-|-|-|-
august_07_2021|Manchester|string bean|local|-|-|-|-|-
august_07_2021|Manchester|sweet pepper (green)|green house (local)|-|-|-|-|-
august_07_2021|Manchester|sweet pepper (green)|local|132|220|143|moderate|excellent
august_07_2021|Manchester|sweet pepper (red)|green house (local)|484|550|517|moderate|excellent
august_07_2021|Manchester|sweet pepper (red)|local|-|-|-|-|-
august_07_2021|Manchester|sweet pepper (yellow)|green house (local)|484|550|517|moderate|excellent
august_07_2021|Manchester|sweet pepper (yellow)|local|-|-|-|-|-
august_07_2021|Manchester|sweet potato|local|132|220|132|moderate|excellent
august_07_2021|Manchester|thyme|local|550|660|605|moderate|excellent
august_07_2021|Manchester|tomatoes(plummy)|local|132|198|165|scarce|excellent
august_07_2021|Manchester|tomatoes(salad)|local|264|330|330|scarce|excellent
august_07_2021|Manchester|watermelon|local|132|154|143|moderate|excellent
august_07_2021|Manchester|yam|negro|440|550|550|scarce|excellent
august_07_2021|Manchester|yam|sweet|-|-|-|-|-
august_07_2021|Manchester|yam|white (lucea)|-|-|-|-|-
august_07_2021|Manchester|yam|yellow|440|550|550|scarce|excellent
