date|parish|commodity|variety source|low|high|most frequent|supply|grade
August 07, 2021|Clarendon|broccoli|local|-|-|-|-|-
August 07, 2021|Clarendon|cabbage (green)|local|88|196|132|moderate|excellent
August 07, 2021|Clarendon|cabbage (red)|local|-|-|-|-|-
August 07, 2021|Clarendon|callaloo|shredded|-|-|-|-|-
August 07, 2021|Clarendon|callaloo|whole|55|154|154|moderate|excellent
August 07, 2021|Clarendon|cantaloupe|local|-|-|-|-|-
August 07, 2021|Clarendon|carrot|local|44|110|44|moderate|excellent
August 07, 2021|Clarendon|cauliflower|local|-|-|-|-|-
August 07, 2021|Clarendon|coco|local|220|264|220|moderate|excellent
August 07, 2021|Clarendon|cucumber|local|33|110|44|moderate|excellent
August 07, 2021|Clarendon|dasheen|local|220|286|220|moderate|excellent
August 07, 2021|Clarendon|escallion|local|88|110|99|moderate|excellent
August 07, 2021|Clarendon|ginger|local|-|-|-|-|-
August 07, 2021|Clarendon|green banana|local|88|132|110|moderate|excellent
August 07, 2021|Clarendon|gungo peas|dry|-|-|-|-|-
August 07, 2021|Clarendon|gungo peas|green|-|-|-|-|-
August 07, 2021|Clarendon|honeydew melon|local|-|-|-|-|-
August 07, 2021|Clarendon|irish potato|local|220|264|242|moderate|excellent
August 07, 2021|Clarendon|lettuce|iceberg (local)|660|770|770|moderate|excellent
August 07, 2021|Clarendon|lettuce|other|-|-|-|-|-
August 07, 2021|Clarendon|lettuce|romaine (local)|660|770|715|moderate|excellent
August 07, 2021|Clarendon|okra|local|88|176|132|moderate|excellent
August 07, 2021|Clarendon|onion|local|220|244|232|moderate|excellent
August 07, 2021|Clarendon|pak choi|local|66|176|176|moderate|excellent
August 07, 2021|Clarendon|papaya|local|132|154|143|abundant|excellent
August 07, 2021|Clarendon|pepper|scotch bonnet|176|220|220|moderate|excellent
August 07, 2021|Clarendon|pepper|west indian red|88|110|99|moderate|excellent
August 07, 2021|Clarendon|pineapple|cow boy|176|220|176|moderate|excellent
August 07, 2021|Clarendon|pineapple|md 2|-|-|-|-|-
August 07, 2021|Clarendon|pineapple|sugar loaf|132|154|132|moderate|excellent
August 07, 2021|Clarendon|plantain|green|110|132|121|moderate|excellent
August 07, 2021|Clarendon|plantain|ripe|-|-|-|-|-
August 07, 2021|Clarendon|pumpkin|local|66|110|88|moderate|excellent
August 07, 2021|Clarendon|sorrel|local|330|440|440|moderate|excellent
August 07, 2021|Clarendon|string bean|local|-|-|-|-|-
August 07, 2021|Clarendon|sweet pepper (green)|green house (local)|-|-|-|-|-
August 07, 2021|Clarendon|sweet pepper (green)|local|154|330|220|moderate|excellent
August 07, 2021|Clarendon|sweet pepper (red)|green house (local)|-|-|-|-|-
August 07, 2021|Clarendon|sweet pepper (red)|local|330|440|385|moderate|excellent
August 07, 2021|Clarendon|sweet pepper (yellow)|green house (local)|-|-|-|-|-
August 07, 2021|Clarendon|sweet pepper (yellow)|local|330|440|385|moderate|excellent
August 07, 2021|Clarendon|sweet potato|local|132|176|132|moderate|excellent
August 07, 2021|Clarendon|thyme|local|-|-|-|-|-
August 07, 2021|Clarendon|tomatoes(plummy)|local|110|198|110|moderate|excellent
August 07, 2021|Clarendon|tomatoes(salad)|local|220|330|264|moderate|excellent
August 07, 2021|Clarendon|watermelon|local|110|132|121|moderate|excellent
August 07, 2021|Clarendon|yam|negro|-|-|-|-|-
August 07, 2021|Clarendon|yam|sweet|-|-|-|-|-
August 07, 2021|Clarendon|yam|white (lucea)|-|-|-|-|-
August 07, 2021|Clarendon|yam|yellow|330|550|440|moderate|excellent
